module_name,methods_table,lineno,path
_C,methods,3215,F:\DLFs_dataset\pytorch\pytorch-2.0.1\functorch\csrc\dim\dim.cpp
torch._C._fft,fft_functions,59,F:\DLFs_dataset\pytorch\pytorch-2.0.1\tools\autograd\templates\python_fft_functions.cpp
torch._C._linalg,linalg_functions,46,F:\DLFs_dataset\pytorch\pytorch-2.0.1\tools\autograd\templates\python_linalg_functions.cpp
torch._C._nested,nested_functions,59,F:\DLFs_dataset\pytorch\pytorch-2.0.1\tools\autograd\templates\python_nested_functions.cpp
torch._C._nn,nn_functions,91,F:\DLFs_dataset\pytorch\pytorch-2.0.1\tools\autograd\templates\python_nn_functions.cpp
torch._C._return_types,,38,F:\DLFs_dataset\pytorch\pytorch-2.0.1\tools\autograd\templates\python_return_types.cpp
torch._C._sparse,sparse_functions,45,F:\DLFs_dataset\pytorch\pytorch-2.0.1\tools\autograd\templates\python_sparse_functions.cpp
torch._C._special,special_functions,57,F:\DLFs_dataset\pytorch\pytorch-2.0.1\tools\autograd\templates\python_special_functions.cpp
torch._C_flatbuffer,m,55,F:\DLFs_dataset\pytorch\pytorch-2.0.1\torch\csrc\init_flatbuffer_module.cpp
torch._C,,1288,F:\DLFs_dataset\pytorch\pytorch-2.0.1\torch\csrc\Module.cpp
torch._C._dynamo.eval_frame,_methods,882,F:\DLFs_dataset\pytorch\pytorch-2.0.1\torch\csrc\dynamo\eval_frame.c
torch._C._dynamo.guards,_methods,396,F:\DLFs_dataset\pytorch\pytorch-2.0.1\torch\csrc\dynamo\guards.cpp
torch._C._dynamo,,7,F:\DLFs_dataset\pytorch\pytorch-2.0.1\torch\csrc\dynamo\init.cpp
